Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,5246.29230634793
Albania,ALB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,1.6,..,..,0.9,..,..,0.3,..,..,..,0.8,..,1.6,1.1,0.9,1.3,..,..,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,98.7129821777344,..,..,..,..,..,..,95.9386367797852,..,..,96.8452987670898,97.2469711303711,..,..,..,..,..,98.1411514282227,..,..
Albania,ALB,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,37.0448913574219,..,..,..,..,..,..,39.8893203735352,..,..,43.4903411865234,45.2791481018066,..,..,..,..,..,..,..,..
Albania,ALB,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,91.3976516723633,..,..,..,..,..,..,92.3957138061523,..,..,95.8474731445313,95.5083923339844,..,..,..,..,..,..,..,..
Albania,ALB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..,12.0026302337646,12.8996601104736,..,..,..,..,..,..,..,..
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.987320005893707,..,..,0.980199992656708,0.978039979934692,0.985040009021759,0.99686998128891,0.999790012836456,1.01780998706818,1.00568997859955,1.00029003620148,0.990100026130676,0.98158997297287,0.976679980754852,0.982420027256012,0.993550002574921,1.00432002544403,1.01730000972748,1.018630027771,1.02399003505707
Albania,ALB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,89.58073425,96.27111816,125.98797607,156.56817627,165.26533508,174.53024292,222.30366516,220.46424866,186.44281006,192.0032196,211.07551575,213.71974182,236.95796204,251.35826111,192.88513184,202.01332092,226.28067017,274.91409302,..,..
Albania,ALB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,51.75642395,57.48270035,68.05230713,82.45149994,86.81703949,89.6161499,124.44686127,117.01272583,87.8655777,90.9402771,104.61727905,107.71585846,120.59402466,131.08905029,83.49495697,84.38040161,100.86329651,122.77055359,..,..
Albania,ALB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,34.5555954,36.07753754,47.62977219,65.20411682,69.52596283,74.33125305,85.71827698,97.43617249,94.71818542,96.2378006,104.12452698,103.79718018,113.41701508,118.4573822,107.59864044,115.21235657,120.75823975,148.43656921,..,..
Albania,ALB,International migrant stock (% of population),SM.POP.TOTL.ZS,..,..,..,..,2.10043436900991,..,..,..,..,1.8189568635262,..,..,..,..,1.98903641031678,..,..,..,..,..
Albania,ALB,Refugee population by country or territory of asylum,SM.POP.REFG,291,18,24,49,53,56,68,57,69,75,79,84,96,111,109,141,124,132,120,115
Albania,ALB,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,3.832,3.669,3.6042,3.5866,3.6076,4.1613,4.2011,..,4.1894,4.0183,4.1761,4.4192,4.2892,..,..,3.6495,..,..,5.088,..
Albania,ALB,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,..,..,..,..,4,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.54,16.61,16.61,16.52,16.4,16.17,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.06,17.19,15.42,13.62,12.3,11.47,11.7
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.4,15.8,15,14.4,14.1,13.8,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,11.6899995803833
